Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kanye West,VULTURES 1,STARS,2024-02-18 0:24,3w0w2T288dec0mgeZZqoNN,,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,264324.0,4.0
Joe Hisaishi,Spirited Away Soundtrack,One Summer Day,2024-02-17 18:33,3gFQOMoUwlR6aUZj81gCzu,,0.41,0.196,0.0,-15.956,1.0,0.0383,0.953,0.892,0.0974,0.0622,78.823,189800.0,4.0
Louie Zong,Ghost Duet,ghost duet,2024-02-17 18:21,4MVk79dmYqi7HQs0bMgboy,,0.707,0.234,7.0,-16.523,1.0,0.0864,0.96,0.861,0.124,0.611,78.036,60004.0,3.0
Erik Satie,Erik Satie & Friends,Gymnopédie No. 1,2024-02-17 17:50,5NGtFXVpXSvwunEIGeviY3,,0.468,0.0127,7.0,-36.856,1.0,0.123,0.994,0.937,0.094,0.356,72.776,205867.0,3.0
JAY-Z,Watch the Throne,Ni**as in Paris,2024-02-17 4:42,1auxYwYrFRqZP7t3s7w4um,,0.789,0.858,1.0,-5.542,1.0,0.311,0.127,0.0,0.349,0.775,140.022,219333.0,4.0
Ichiko Aoba,Asleep Among Endives,Asleep Among Endives,2024-02-17 4:30,0RD3NWnHlyBCRwgNZy8QAn,,0.406,0.0315,8.0,-19.899,1.0,0.0365,0.983,0.0228,0.0991,0.154,57.935,306271.0,4.0
Kanye West,VULTURES 1,BURN,2024-02-17 4:28,04CyMEHliadfQWMUJb1w99,,0.6,0.885,11.0,-6.21,0.0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,111458.0,4.0
Kanye West,VULTURES 1,FUK SUMN,2024-02-16 20:13,5tEaVciE2GnR28aN6W9cLS,,0.774,0.818,4.0,-2.825,0.0,0.145,0.127,0.0,0.0529,0.438,142.084,209577.0,4.0
Kanye West,VULTURES 1,PAPERWORK,2024-02-16 20:08,2yyO7EKRr7c3txi4xCXUFk,,0.741,0.488,8.0,-5.308,1.0,0.0556,0.0703,9.1e-06,0.0821,0.186,120.839,145785.0,4.0
Kanye West,VULTURES 1,BACK TO ME,2024-02-16 19:54,3w0w2T288dec0mgeZZqoNN,,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144,264324.0,4.0
Summrs,Fallen Raven,catch a kill,2024-02-16 3:43,2n4CKcjm30m0Be4ZwdcaUV,,0.676,0.403,1.0,-11.491,1.0,0.183,0.000416,1.23e-05,0.13,0.143,145.002,126009.0,3.0
Kupla,Allure,Sendoff,2024-02-15 22:40,5qnzQlIwAqswPNr0zwJUqi,,0.608,0.389,0.0,-6.957,1.0,0.0734,0.882,0.061,0.12,0.226,82.043,123227.0,4.0
