Artist,Album,Song,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Charmer & Klay,Reflections,Pure,4Aocy7YAyOYf5YHj18Vfj3,0.708,0.552,10,-7.101,1,0.0714,0.542,0.00377,0.175,0.596,87.195,131884,4
Jamie Henwood,Introducing Jamie Henwood,☁️,5mR31YQKnnrvi0NSSQuads,0.484,0.0639,5,-27.59,0,0.029,0.866,0.9,0.0988,0.159,89.948,42320,4
jjjjmitchell,grey & green,grey & green,4kVGbzriXY198lnNeh3nAv,0.738,0.525,9,-11.971,1,0.0303,0.289,3.40E-05,0.184,0.594,122.156,208760,4
mike fink,The Spring Collection,Montanha Alta,5YCYZ59s1xTP9vFq0CM5P7,0.373,0.172,11,-13.339,1,0.041,0.979,0.927,0.0875,0.0507,57.62,70000,5
Nobuddy,nobuddy's buddies vol. 1,comfort food,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
Chief.,mirrored / in the river,in the river,0Jr2E3wJ8YM1nUisKw7teM,0.823,0.579,5,-10.173,1,0.0381,0.455,2.41E-06,0.121,0.725,123.263,217293,4
HM SURF,Condition Zero,Condition Zero,4wbKrkJpolIIua7dIrcbbr,0.298,0.899,0,-5.287,1,0.0614,0.0943,0.000293,0.144,0.283,138.559,465573,4
96 Zeus,tulip farm,tulip farm,14qcyKnHIfxx6c3EF8l4hl,0.583,0.562,0,-8.757,1,0.1,0.685,1.01E-05,0.109,0.429,76.421,207371,4
wltv,blanket fort,blanket fort,1xdFt5VnGjZyD2fsfxRpUy,0.668,0.153,1,-21.826,0,0.135,0.957,0.911,0.118,0.187,78.112,113846,4
Kristoffer Eikrem,Easy Going,Easy Going,3aejRHMkNemQwRmLBrJkvK,0.599,0.197,8,-12.665,1,0.0308,0.919,0.927,0.111,0.0801,67.983,153577,4
mujo,Quiet Nights,Hand,5aQ9gs0P9N6zpVGTuKhTM6,0.625,0.701,1,-13.837,1,0.0447,0.348,0.656,0.276,0.881,104.967,189143,4
Kamali Culkin,lazy river,lazy river,558A7Fp6fwrbF2DYqR04ty,0.502,0.229,0,-22.654,1,0.0778,0.867,0.819,0.0877,0.242,80.071,117342,4
kurt stewart,february,snow globe,0kn9QwZW8Ow9eTuZgxVEz8,0.607,0.328,10,-7.824,1,0.0305,0.875,0,0.138,0.396,124.041,228387,4
kurt stewart,february,wet snow,5zVKisBri6JH1fooBhUaVq,0.694,0.649,3,-7.176,1,0.0281,0.357,0.00258,0.0868,0.603,111.98,403040,4
Charmer & Klay,Reflections,Six Pack,4Aocy7YAyOYf5YHj18Vfj3,0.708,0.552,10,-7.101,1,0.0714,0.542,0.00377,0.175,0.596,87.195,131884,4
Raads,leaf,leaf,4QsMEAegpfkoBweGRdM8Zn,0.428,0.75,5,-7.281,0,0.0557,0.0003,1.97E-05,0.0407,0.581,178.13,239533,4
Mia Joy,Spirit Tamer,Candle Prayer,6WsmDbLopxrnqTXgeuNWz5,0.334,0.0354,10,-24.326,1,0.053,0.995,0.959,0.0979,0.498,68.978,126397,4
nate2timez,stargaze,stargaze,3WZpFPpWR7C7wNVlm7dRvx,0.429,0.949,4,-4.453,0,0.0905,4.62E-05,6.40E-06,0.428,0.207,122.081,251008,4
Soft Eyez,Deep Snow,Deep Snow,7n3Y93fkz1oRdsgpYTazkh,0.517,0.857,7,-6.378,1,0.0311,1.37E-05,0.9,0.0557,0.494,159.969,151560,4
Nobuddy,nobuddy's buddies vol. 1,breeze,4QkvD53COA5qLA7rQ1Pa7D,0.568,0.75,2,-8.913,1,0.0466,0.0731,0,0.121,0.407,75.82,140440,4
Soft Eyez,Diablo Lake,Diablo Lake,188co4R4xOGIwAVnDgV7Qc,0.627,0.371,9,-14.296,0,0.043,0.432,0.541,0.0763,0.258,81.993,133171,4
wood.,The Secret Spring,The Secret Spring,2VdheQpsYytFVFI8KUiNcm,0.842,0.678,11,-4.37,0,0.103,0.181,0.0222,0.207,0.143,119.914,180000,4
